"","pC","pD","pM","rep","stability","oscilations","resilience"
"C512",0.25,0.37,0.38,5,FALSE,TRUE,0.262334427316645
"C513",0.34,0.27,0.39,6,TRUE,TRUE,0.460758251435381
"C514",0.333333333333333,0.272727272727273,0.393939393939394,7,FALSE,TRUE,0.549302540981675
"C515",0.37,0.3,0.33,8,FALSE,TRUE,0.312563688536606
"C516",0.38,0.34,0.28,9,TRUE,TRUE,0.477936354170603
"C517",0.31,0.33,0.36,10,FALSE,TRUE,0.411661632339647
"C518",0.38,0.25,0.37,11,FALSE,TRUE,0.340939696487974
"C519",0.323232323232323,0.222222222222222,0.454545454545455,12,FALSE,TRUE,0.317142785166403
"C520",0.42,0.25,0.33,13,FALSE,TRUE,0.471815489702638
"C521",0.39,0.33,0.28,14,FALSE,TRUE,0.362309620544663
"C522",0.29,0.33,0.38,15,TRUE,TRUE,0.347867307225481
"C523",0.32,0.39,0.29,16,TRUE,TRUE,0.341124927448327
"C524",0.27,0.3,0.43,17,TRUE,TRUE,0.350108172120317
"C525",0.37,0.28,0.35,18,FALSE,TRUE,0.400626634325364
"C526",0.28,0.37,0.35,19,TRUE,TRUE,0.368919338815244
"C527",0.24,0.33,0.43,20,TRUE,TRUE,0.442182610371253
"C528",0.242424242424242,0.232323232323232,0.525252525252525,1,TRUE,TRUE,0.376399290935506
"C529",0.23,0.23,0.54,2,TRUE,TRUE,0.292384772722835
"C530",0.3,0.22,0.48,3,TRUE,TRUE,0.379899134030821
"C531",0.3,0.24,0.46,4,TRUE,TRUE,0.405048710609116
"C532",0.24,0.25,0.51,5,TRUE,TRUE,0.331678565055845
"C533",0.22,0.29,0.49,6,TRUE,TRUE,0.40380249874451
"C534",0.32,0.18,0.5,7,TRUE,TRUE,0.305086917493419
"C535",0.3,0.23,0.47,8,TRUE,TRUE,0.390297143148832
"C536",0.29,0.26,0.45,9,FALSE,TRUE,0.296434420717861
"C537",0.23,0.21,0.56,10,TRUE,TRUE,0.331491261264698
"C538",0.21,0.24,0.55,11,TRUE,TRUE,0.357735022491619
"C539",0.14,0.28,0.58,12,TRUE,TRUE,0.272283155530179
"C540",0.26,0.22,0.52,13,TRUE,TRUE,0.453429581054488
"C541",0.21,0.2,0.59,14,TRUE,TRUE,0.322108707012935
"C542",0.32,0.15,0.53,15,FALSE,TRUE,0.455852427294719
